Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
26469,In vivo and in vitro effects of PTH1‐34 on osteogenic and adipogenic differentiation of human bone marrow‐derived mesenchymal stem cells through regulating microRNA‐155,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Genetics;,"Special Economic Animal Research Center, Harbin Speciality Research Institute, Heilongjiang Academy of Land Reclamation Sciences, Harbin, P.R. China; Department of Hematology and Oncology, The First Affiliated Hospital of Harbin Medical University, Harbin, P.R. China;",Journal of Cellular Biochemistry,Wiley,China,Huan Sheng Han;Fang Ju;Shuo Geng,,Research Article;,11/1/2017 0:00,10.1002/jcb.29823,0.0,11/1/2017 0:00,10.1002/jcb.26478,29091308.0,Retraction,+Date of Retraction/Other Unknown;+Error in Analyses;+Error in Results and/or Conclusions;+Investigation by Journal/Publisher;+Objections by Third Party;,No,
26402,Quantized Majorana conductance,(B/T) Computer Science;(PHY) Crystallography/Spectroscopy;(PHY) Engineering - Electrical;,"QuTech and Kavli Institute of NanoScience, Delft University of Technology, Delft, 2600 GA, The Netherlands; Department of Physics, Condensed Matter Theory Center and Joint Quantum Institute, University of Maryland, College Park, 20742, Maryland, USA; Department of Applied Physics, Eindhoven University of Technology, Eindhoven, 5600 MB, The Netherlands; Materials Engineering, University of California Santa Barbara, Santa Barbara, 93106, California, USA; Philips Innovation Services Eindhoven, High Tech Campus 11, Eindhoven, 5656AE, The Netherlands; Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, 93106, California, USA; California NanoSystems Institute, University of California Santa Barbara, Santa Barbara, 93106, California, USA; Microsoft Station Q Delft, Delft, 2600 GA, The Netherlands;",Nature,Springer - Nature Publishing Group,Netherlands;United States,Hao Zhang;Chun Xiao Liu;Sasa Gazibegovic;Di Xu;John A Logan;Guanzhong Wang;Nick van Loo;Jouri D S Bommer;Michiel W A de Moor;Diana Car;Roy L M Op het Veld;Petrus J van Veldhoven;Sebastian Koelling;Marcel A Verheijen;Mihir Pendharkar;Daniel J Pennachio;Borzoyeh Shojaei;Joon Sue Lee;Chris J Palmstrom;Erik P A M Bakkers;S Das Sarma;Leo P Kouwenhoven,http://retractionwatch.com/2021/03/08/authors-retract-nature-majorana-paper-apologize-for-insufficient-scientific-rigour/,Letter;Research Article;,3/8/2021 0:00,10.1038/s41586-021-03373-x,33686283.0,3/28/2018 0:00,10.1038/nature26142,29590094.0,Retraction,+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;+Upgrade/Update of Prior Notice;,No,
26264,Hydrostatin-SN10 Ameliorates Pancreatitis-Induced Lung Injury by Affecting IL-6-Induced JAK2/STAT3-Associated Inflammation and Oxidative Stress,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Endocrinology;(HSC) Medicine - Pulmonology;,"1Department of Traditional Chinese Medicine, The First Affiliated Hospital of Jinzhou Medical University, Jinzhou 121001, China; 2Department of Digestive Endoscopy, The Affiliated Hospital of Changchun University of Traditional Chinese Medicine, Changchun 130021, China; 3Internal Medicine of Traditional Chinese Medicine, The Affiliated Hospital of Changchun University of Traditional Chinese Medicine, Changchun 130021, China; 4Department of Gastroenterology, The First Affiliated Hospital of Jinzhou Medical University, Jinzhou 121001, China; 5Department of Cardiology, The Fourth Affiliated Hospital of Harbin Medical University, Harbin 150001, China; 6Heart Disease Center, The Affiliated Hospital of Changchun University of Traditional Chinese Medicine, Changchun 130021, China;",Oxidative Medicine and Cellular Longevity,Hindawi,China,Xuehua Piao;Yanping Zou;Xiaodan Sui;Baohai Liu;Fanji Meng;Shuangdi Li;Qingyu Zhang;Chi Ma;Tong Wu,,Research Article;,1/20/2021 0:00,10.1155/2021/8541783,33532036.0,11/18/2019 0:00,10.1155/2019/9659757,31827715.0,Retraction,+Concerns/Issues About Data;+Concerns/Issues about Referencing/Attributions;+Copyright Claims;+Error in Analyses;+Error in Methods;+Euphemisms for Plagiarism;+Taken from Dissertation/Thesis;,No,
26222,Divergent synthesis of 5-substituted pyrimidine 2′-deoxynucleosides and their incorporation into oligodeoxynucleotides for the survey of uracil DNA glycosylases,(BLS) Biochemistry;(BLS) Biology - Molecular;(BLS) Genetics;,"Department of Pharmaceutical Sciences, Albany College of Pharmacy and Health Sciences, Colchester, VT 05446, USA; Department of Medicinal Chemistry, Virginia Commonwealth University, Richmond, VA 23219, USA; Institute for Structural Biology, Drug Discovery and Development, Virginia Commonwealth University, Richmond, VA 23219, USA;",Chemical Science,Royal Society of Chemistry (RSC),United States,Ai Tran;Song Zheng;Dawanna S White;Alyson M Curry;Yana Cen,,Research Article;,2/25/2021 0:00,10.1039/D1SC90028E,0.0,10/7/2020 0:00,10.1039/D0SC04161K,0.0,Retraction,+Error in Analyses;+Error in Cell Lines/Tissues;+Error in Materials;+Error in Methods;+Error in Results and/or Conclusions;+Results Not Reproducible;,No,
26197,Cardiac Arrest following a Myocardial Infarction in a Child Treated with Methylphenidate,(HSC) Medicine - Cardiology;(HSC) Medicine - Pediatrics;(HSC) Medicine - Pharmacology;,"Department of Cardiology, Aarhus University Hospital, Palle Juul-Jensens Boulevard 99, 8200 Aarhus N, Denmark; Department of Psychiatry, Aarhus University Hospital, Risskov Skovagervej 2, 8240 Risskov, Denmark;",Case Reports in Pediatrics,Hindawi,Denmark,Kim Munk;Lise Gormsen;Won Yong Kim;Niels Holmark Anderson,,Case Report;,2/10/2021 0:00,10.1155/2021/4712417,33628557.0,6/28/2015 0:00,10.1155/2015/905097,26221559.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;+Unreliable Results;,No,
26184,Nanogold and Multiwalled Carbon Nanotubes Composited Electrode for Phosphate Detection by Measuring the Oxygen Activity of Manganese Oxides,(PHY) Engineering - Chemical;(PHY) Nanotechnology;,"State Key Laboratory of Food Science and Technology, Nanchang University, Nanchang, 330047, China;",Environmental Science & Technology,American Chemical Society (ACS),China,Tiantian Wu;Donghua Xia;Junjun Xu;Huiting Xi;Cuizhu Ye;Danwen Deng;Jinsheng Zhang;Ganhui Huang,,Research Article;,2/17/2021 0:00,10.1021/acs.est.0c01643,32786570.0,8/7/2020 0:00,10.1021/acs.est.0c01643,0.0,Retraction,+Error in Analyses;+Error in Methods;+Error in Results and/or Conclusions;,No,
26148,Investigation of yellow horn (Xanthoceras sorbifolia Bunge) transcriptome in response to different abiotic stresses: a comparative RNA-Seq study,(BLS) Biology - Cellular;(BLS) Plant Biology/Botany;,"State Key Laboratory of Tree Genetics and Breeding Laboratory, Ministry of Education, Alkali Soil Natural Environmental Science Center (ASNESC), College of Life Science, Northeast Forestry University, Harbin, Heilongjiang Province, China;",RSC Advances,Royal Society of Chemistry (RSC),China,Yanhe Lang;Zhi Liu;Zhimin Zheng,,Research Article;,11/26/2020 0:00,10.1039/D0RA90119A,0.0,2/12/2020 0:00,10.1039/C9RA09535G,0.0,Retraction,+Error in Analyses;+Error in Data;+Error in Methods;+Error in Results and/or Conclusions;,No,
26009,Step-Growth Annulative π-Extension Polymerization for Synthesis of Cove-Type Graphene Nanoribbons,(PHY) Chemistry;(PHY) Nanotechnology;,"Graduate School of Science, Nagoya University, Chikusa, Nagoya 464-8602, Japan; JST-ERATO, Itami Molecular Nanocarbon Project, Nagoya University, Chikusa, Nagoya 464-8602, Japan;",Journal of the American Chemical Society,American Chemical Society (ACS),Japan,Yuuta Yano;Feijiu Wang;Nobuhiko Mitoma;Yuhei Miyachi;Hideto Ito;Kenichiro Itami,http://retractionwatch.com/2020/11/27/authors-retract-nature-paper-after-realizing-some-data-were-calculated-wrongly/;http://retractionwatch.com/2021/02/25/nanotech-group-that-retracted-nature-study-pulls-two-more-papers/,Research Article;,2/19/2021 0:00,10.1021/jacs.1c01453,33605137.0,1/10/2020 0:00,10.1021/jacs.9b11328,31918548.0,Retraction,+Error in Analyses;+Error in Methods;+Results Not Reproducible;,No,
25841,A Comparative Study of ARHI Imprinted Gene Detection and Fine-Needle Aspiration Cytology in the Differential Diagnosis of Benign and Malignant Thyroid Nodules,(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Endocrinology;(HSC) Medicine - Oncology;,"Department of Ultrasonography, The Jiangyin Clinical College of Xuzhou Medical University, Jiangyin, China; Department of Ultrasonography, Suzhou Wuzhong People’s Hospital, Suzhou, China;",Genetic Testing and Molecular Biomarkers,Mary Ann Liebert,China,Dazhong Zou;Chengwei Wu;Jixuan Miao;Qing Shao;Wenlong Huang;Jianda Huang;Guihua Wu;Qing Zhang,,Research Article;,2/15/2021 0:00,10.1089/gtmb.2019.0028.retract,33596138.0,9/12/2019 0:00,10.1089/gtmb.2019.0028,31411490.0,Retraction,+Concerns/Issues about Third Party Involvement;+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;+Miscommunication by Author;+Misconduct by Author;,No,
25837,Association Between Maternal Exposure to Magnetic Field Nonionizing Radiation During Pregnancy and Risk of Attention-Deficit/Hyperactivity Disorder in Offspring in a Longitudinal Birth Cohort,(BLS) Toxicology;(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Obstetrics/Gynecology;(HSC) Medicine - Pediatrics;(HSC) Public Health and Safety;,"Division of Research, Kaiser Foundation Research Institute, Kaiser Permanente, Oakland, California;",JAMA Network Open,American Medical Association,United States,De Kun Li;Hong Chen;Jeannette R Ferber;Andrew K Hirst;Roxana Odouli,,Research Article;,2/18/2021 0:00,10.1001/jamanetworkopen.2020.33605,33599776.0,3/24/2020 0:00,10.1001/jamanetworkopen.2020.1417,32207831.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;+Retract and Replace;,No,Original article was retracted and replaced with corrected version using the same DOI.
